CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
PBR;Principality of Brazil;;;;;;;;;;;;;;;;;;;;;;x;;;;
PBR_ADJ;Brazillian;;;;;;;;;;;;;;;;;;;;;;x;;;;
LIG;Liga Federal;;;;;;;;;;;;;;;;;;;;;;x;;;;
LIG_ADJ;Ligan;;;;;;;;;;;;;;;;;;;;;;x;;;;
OM1;Oman;;;;;;;;;;;;;;;;;;;;;;x;;;;
OM1_ADJ;Omani;;;;;;;;;;;;;;;;;;;;;;x;;;;
MUS;Muscat;;;;;;;;;;;;;;;;;;;;;;x;;;;
MUS_ADJ;Muscati;;;;;;;;;;;;;;;;;;;;;;x;;;;
DYH;Diriyah;;;;;;;;;;;;;;;;;;;;;;x;;;;
DYH_ADJ;Diriyahn;;;;;;;;;;;;;;;;;;;;;;x;;;;
SKY;Shamakhy;;;;;;;;;;;;;;;;;;;;;;x;;;;
SKY_ADJ;Shamakhan;;;;;;;;;;;;;;;;;;;;;;x;;;;
SNR;Sennar;;;;;;;;;;;;;;;;;;;;;;x;;;;
SNR_ADJ;Sennar;;;;;;;;;;;;;;;;;;;;;;x;;;;
HWW;Hawwara;;;;;;;;;;;;;;;;;;;;;;x;;;;
HWW_ADJ;Hawwari;;;;;;;;;;;;;;;;;;;;;;x;;;;
OM1;Oman;;;;;;;;;;;;;;;;;;;;;;x;;;;
OM1_ADJ;Omani;;;;;;;;;;;;;;;;;;;;;;x;;;;
MTH;Maratha Confederacy;;;;;;;;;;;;;;;;;;;;;;x;;;;
MTH_ADJ;Marathi;;;;;;;;;;;;;;;;;;;;;;x;;;;
OUU;Orungu;;;;;;;;;;;;;;;;;;;;;;x;;;;
OUU_ADJ;Orungi;;;;;;;;;;;;;;;;;;;;;;x;;;;
AOL;Ankole;;;;;;;;;;;;;;;;;;;;;;x;;;;
AOL_ADJ;Ankoli;;;;;;;;;;;;;;;;;;;;;;x;;;;
BNY;Bunyoro;;;;;;;;;;;;;;;;;;;;;;x;;;;
BNY_ADJ;Bunyori;;;;;;;;;;;;;;;;;;;;;;x;;;;
KKG;Kakongo;;;;;;;;;;;;;;;;;;;;;;x;;;;
KKG_ADJ;Kakongolese;;;;;;;;;;;;;;;;;;;;;;x;;;;
KNZ;Kasanze;;;;;;;;;;;;;;;;;;;;;;x;;;;
KNZ_ADJ;Kasanze;;;;;;;;;;;;;;;;;;;;;;x;;;;;Kasanze;;;;;;;;;;;;;;;;;;;;;;x;;;;
MAA;Matamba;;;;;;;;;;;;;;;;;;;;;;x;;;;
MAA_ADJ;Matambese;;;;;;;;;;;;;;;;;;;;;;x;;;;
NZK;Anziko;;;;;;;;;;;;;;;;;;;;;;x;;;;
NZK_ADJ;Anzika;;;;;;;;;;;;;;;;;;;;;;x;;;;
HOO;Holo;;;;;;;;;;;;;;;;;;;;;;x;;;;
HOO_ADJ;Holo;;;;;;;;;;;;;;;;;;;;;;x;;;;
NGO;Ngoyo;;;;;;;;;;;;;;;;;;;;;;x;;;;
NGO_ADJ;Ngoyese;;;;;;;;;;;;;;;;;;;;;;x;;;;